region,age,sex,1991,1992,1993,1994,1995,1996
0180 Stockholm,15-19,men,445,506,497,553,498,527
0180 Stockholm,15-19,women,663,601,643,669,614,634
0180 Stockholm,20-24,men,2156,1999,2009,2281,2311,2276
0180 Stockholm,20-24,women,3094,2772,3002,3213,3186,3357
0180 Stockholm,25-29,men,3309,3118,3033,3274,3258,3261
0180 Stockholm,25-29,women,3673,3301,3274,3544,3543,3522
0180 Stockholm,30-34,men,2882,2486,2674,3147,3291,3292
0180 Stockholm,30-34,women,2444,2097,2267,2721,2823,2807
0180 Stockholm,35-39,men,1811,1698,1808,2074,2024,2039
0180 Stockholm,35-39,women,1253,1188,1233,1489,1380,1438
0180 Stockholm,40-44,men,1235,1143,1124,1333,1268,1296
0180 Stockholm,40-44,women,824,770,705,901,801,884
0180 Stockholm,45-49,men,840,861,872,1015,986,950
0180 Stockholm,45-49,women,673,582,656,749,664,693
0180 Stockholm,50-54,men,517,528,640,700,778,813
0180 Stockholm,50-54,women,379,391,459,567,582,590
